date_info,name,title,content,rating
Reviewed in India on 27 March 2021,A K Bhatnagar,Air frier became nonfunctional within gaurentee period,"Air fryer purchased on 14th June 2020 stopped functioning in feb 2021. Technician from Inalsa came today and said that motor needs to be replaced. Instead of replacing the defective motor , we need replacement with new unit as it is still under gaurentee period.",1.0 out of 5 stars
Reviewed in India on 25 July 2020,VINEET,Inalsa,Inalsa Airfryer is so good and easy to use. Definitely worth buying.. Food cooks easily especially those that need to be crispier outside and soft inside. I have posted 2 images too to just show how Inalsa air fryer can cook. The product is good but needs to handled carefully and softly.. I love this product.,5.0 out of 5 stars
Reviewed in India on 4 March 2019,Shivansh Tyagi,Up to the mark,Product is up to the mark. I have made fries in it & that was pretty yum. Finally after returning Prestige PAF 4.0 & buying Inalsa makes better choice.,4.0 out of 5 stars
Reviewed in India on 14 August 2020,Sagar,Good Buy!,"Its a good product, really a good buy if you're health conscious.. It uses very less oil and is very easy to use.. Also its worth the price they are offering.",5.0 out of 5 stars
Reviewed in India on 6 August 2020,Rohit Patil,Stopped working after 1 use + Missing items listed on box,"ordered this after looking at majority positive reviews. However, the product stopped working after 1 use. Doesn't power on any more. The Box is missing user guide and recipe book as listed on the box. I will contact support to get it fixed or possibly replaced.",1.0 out of 5 stars
Reviewed in India on 24 August 2020,Shruti,Amazing product,"Made amazing fries, chicken, crispy corn and all tasted so nice. No difference noted. just brushed with a tsp oil and all was done. The top does get very hot sometimes but overall the product is very good and really delivers",5.0 out of 5 stars
Reviewed in India on 18 July 2019,AK,The most disappointing product I ever bought on amazon,It’s a failure. Stopped working twice after one day of purchase. Both times. Returned for refund. DO NOT BUY...,1.0 out of 5 stars
Reviewed in India on 20 October 2020,Amazon Customer,Excellent,Easy to use and gpod quality product.. Must buy for a family of 4 and if you are on a diet. I just can't explain how crispy and tasty my chicken nuggets and fries came out to be.,5.0 out of 5 stars
Reviewed in India on 13 March 2019,Ridhima Jaitely,Damaged,This product was damaged when I opened the box. So returning....,2.0 out of 5 stars
Reviewed in India on 10 December 2020,Randeep ,Ok ok product,"I have got a bit defective product, wherein coating at handle got chipped after some time",4.0 out of 5 stars
